TOKEN,NE
Lady,0
Clayton,0
's,0
letter,0
",",0
transcribed,0
as,0
HAM/1/9/83,0
(,0
1,0
),0
",",0
occupies,0
an,0
opening,0
page,0
",",0
the,0
left-hand,0
column,0
of,0
this,0
page,0
and,0
a,0
final,0
address,0
page,0
.,0
My,0
dear,0
Madam,0
--,0
By,0
return,0
of,0
post,0
I,0
acknowledge,0
the,0
rect,0
of,0
your,0
Ladyship,0
s,0
letter,0
",",0
with,0
one,0
inclosed,0
",",0
which,0
I,0
dare,0
flatter,0
myself,0
will,0
prove,0
satisfactory,0
respecting,0
yr-,0
request,0
you,0
did,0
me,0
the,0
honor,0
to,0
solicit,0
--,0
I,0
had,0
heard,0
with,0
Concern,0
of,0
Capt,B-pers
.,I-pers
Clayton,I-pers
's,0
illneſs,0
&,0
can,0
aſsure,0
you,0
I,0
feel,0
a,0
sensible,0
satisfaction,0
in,0
knowg,0
from,0
such,0
undoubted,0
authority,0
that,0
he,0
is,0
recovering,0
--,0
I,0
do,0
not,0
say,0
this,0
from,0
the,0
dictates,0
of,0
yt,0
.,0
common,0
place,0
civility,0
",",0
with,0
which,0
we,0
are,0
taught,0
to,0
hold,0
commerce,0
wth-,0
the,0
world,0
",",0
but,0
from,0
a,0
sincere,0
heartfelt,0
regard,0
&,0
esteem,0
I,0
have,0
for,0
yr-,0
Ladyship,0
wh,0
.,0
makes,0
me,0
feel,0
interested,0
in,0
whatever,0
nearly,0
concerns,0
your,0
happineſs,0
--,0
I,0
can,0
with,0
pleasure,0
answer,0
yr-,0
obliging,0
enquiries,0
after,0
Mr.,B-pers
Dickenson,I-pers
&,0
our,0
little,0
Darling,0
Louisa,B-pers
--,0
they,0
are,0
in,0
health,0
&,0
the,0
latter,0
growing,0
daily,0
more,0
engaging,0
and,0
endearing,0
to,0
us,0
by,0
the,0
opening,0
of,0
her,0
understanding,0
&,0
the,0
fair,0
promise,0
of,0
an,0
amiable,0
disposition,0
Mr.,B-pers
D,I-pers
.,I-pers
presents,0
his,0
respects,0
&,0
I,0
have,0
the,0
honor,0
to,0
be,0
remain,0
Yr,0
.,0
Ladyship,0
s,0
Affe,0
friend,0
&,0
Servt,0
.,0
MDickenson,B-pers
We,0
propose,0
spending,0
some,0
time,0
in,0
London,B-place
next,0
spring,0
",",0
when,0
I,0
hope,0
to,0
have,0
the,0
pleasure,0
of,0
seeing,0
you,0
--,0
In,0
case,0
your,0
Lad,0
y,0
ship,0
should,0
again,0
have,0
occasion,0
to,0
write,0
to,0
me,0
I,0
will,0
take,0
ye,0
.,0
Liberty,0
of,0
sendg,0
you,0
my,0
addreſs,0
Taxal,B-place
Chapel,B-place
le,I-place
Frith,I-place
Derbyshire,B-place
