TOKEN,NE
37,0
Madam,0
my,0
Aunt,0
desires,0
me,0
to,0
say,0
she,0
is,0
happy,0
to,0
find,0
that,0
you,0
are,0
willing,0
to,0
make,0
one,0
of,0
her,0
select,0
cotterie,0
",",0
(,0
next,0
Wednesday,0
to,0
dinner,0
at,0
4,0
',0
o'Clock,0
),0
who,0
',0
will,0
all,0
be,0
happy,0
with,0
such,0
an,0
adition,0
",",0
as,0
it,0
is,0
a,0
party,0
in,0
Coy,0
my,0
Aunt,0
desires,0
you,0
not,0
to,0
mention,0
it,0
.,0
she,0
begs,0
her,0
affectionate,0
Compts,0
.,0
--,0
I,0
am,0
Madam,0
with,0
the,0
truest,0
Respect,0
&,0
esteem,0
Your,0
Obliged,0
&,0
Obedient,0
Humb,0
Sert,0
.,0
Georgina,B-pers
Mary,I-pers
Anne,I-pers
Port,I-pers
--,0
S,0
t,0
.,0
James,0
's,0
Place,0
Febry,0
.,0
27,0
th,0
.,0
Thursday,0
5,0
',0
o'Clock,0
--,0
1783,0
--,0
This,0
page,0
is,0
blank,0
.,0
