TOKEN,NE
Lower,0
Lodge,0
.,0
Friday,0
Augst,0
.,0
23,0
d,0
.,0
1782,0
.,0
My,0
Dear,0
Miſs,B-pers
Hamilton,I-pers
",",0
I,0
beg,0
you,0
will,0
present,0
my,0
humble,0
Duty,0
&,0
Thanks,0
to,0
his,B-pers
Majesty,I-pers
for,0
his,0
gracious,0
Attention,0
to,0
the,0
Request,0
I,0
took,0
the,0
Liberty,0
of,0
troubling,0
him,0
with,0
Yesterday,0
.,0
I,0
am,0
just,0
return,0
'd,0
from,0
going,0
all,0
over,0
my,0
Houſe,0
",",0
wch,0
.,0
has,0
every,0
Appearance,0
of,0
Comfort,0
&,0
Enjoyment,0
",",0
for,0
which,0
I,0
can,0
not,0
be,0
too,0
grateful,0
to,0
both,0
their,B-pers
Majesties,I-pers
.,0
I,0
enclose,0
for,0
Queen,B-pers
",",0
all,0
that,0
remain,0
'd,0
of,0
the,0
dear,0
little,0
Prince,0
's,0
Hair,0
",",0
after,0
I,0
had,0
taken,0
out,0
the,0
Locks,0
I,0
sent,0
the,0
Princeſses,0
Yesterday,0
;,0
for,0
his,0
Head,0
was,0
not,0
shaved,0
",",0
or,0
there,0
would,0
have,0
been,0
more,0
.,0
I,0
am,0
very,0
thankful,0
to,0
hear,0
so,0
good,0
an,0
Account,0
of,0
the,0
Healths,0
of,0
all,0
at,0
Kew,B-place
",",0
&,0
beg,0
you,0
will,0
present,0
with,0
my,0
Duty,0
my,0
most,0
affectionate,0
Thanks,0
to,0
Their,0
Royl,0
.,0
Highneſses,0
for,0
all,0
the,0
dear,0
Letters,0
they,0
honor,0
'd,0
me,0
with,0
Yesterday,0
.,0
Goldsworthy,B-pers
writes,0
to,0
Pſs,B-pers
Augusta,I-pers
",",0
She,0
thanks,0
you,0
for,0
your,0
Letter,0
but,0
does,0
not,0
write,0
to,0
you,0
",",0
as,0
I,0
do,0
;,0
She,0
has,0
some,0
Pain,0
on,0
her,0
Breast,0
&,0
Coughs,0
enough,0
",",0
for,0
Keate,B-pers
to,0
think,0
of,0
recommending,0
a,0
Blister,0
Medical,0
blistering,0
",",0
or,0
vesiculation,0
",",0
was,0
a,0
common,0
practice,0
in,0
eigtheenth-century,0
medicine,0
used,0
to,0
relieve,0
conditions,0
such,0
as,0
inflamation,0
and,0
fever,0
",",0
amongst,0
others,0
.,0
It,0
involved,0
raising,0
an,0
artificial,0
blister,0
on,0
the,0
patient,0
's,0
skin,0
.,0
on,0
the,0
Breast,0
",",0
wch,0
.,0
she,0
consents,0
to,0
whenever,0
he,0
pronounces,0
it,0
neceſsary,0
.,0
Mrs,B-pers
Chevely,I-pers
is,0
pretty,0
well,0
&,0
so,0
is,0
Miſs,B-pers
Planta,I-pers
&,0
all,0
join,0
in,0
begging,0
to,0
be,0
remember,0
'd,0
to,0
You,0
.,0
Ever,0
my,0
dear,0
Ms.,B-pers
Hamilton,I-pers
most,0
Sincerely,0
Yrs,0
.,0
CFinch,B-pers
