TOKEN	NE
Lower	O
Lodge	O
.	O
August	O
26	O
th	O
.	O
1782	O
Monday	O
My	O
Dear	O
Miſs	B-pers
Hamilton	I-pers
I	O
beg	O
you	O
to	O
deliver	O
the	O
enclosed	O
to	O
Princeſs	B-pers
Elizabeth	I-pers
;	O
I	O
receiv	O
'd	O
yours	O
yesterday	O
,	O
&	O
shall	O
take	O
care	O
that	O
Genl	B-pers
Carpenter	I-pers
&	O
the	O
two	O
Gentlemen	O
Ushers	O
find	O
the	O
Refreshments	O
of	O
Tea	O
Coffee	O
&	O
c	O
:	O
according	O
to	O
his	B-pers
Majesty	I-pers
's	O
Commands	O
.	O
You	O
will	O
hear	O
but	O
an	O
indifferent	O
Account	O
of	O
the	O
healths	O
of	O
some	O
here	O
from	O
Pſs	B-pers
Elizth	I-pers
.	I-pers
;	O
as	O
to	O
my	O
own	O
it	O
is	O
very	O
well	O
thank	O
God	O
,	O
but	O
I	O
can	O
not	O
help	O
feeling	O
more	O
lowneſs	O
than	O
usual	O
at	O
the	O
Entire	O
closing	O
of	O
this	O
Melancholly	O
Scene	O
,	O
wch	O
.	O
is	O
to	O
take	O
place	O
by	O
the	O
removal	O
of	O
the	O
dear	O
little	O
Child	O
that	O
is	O
now	O
to	O
be	O
so	O
soon	O
.	O
Adieu	O
my	O
dear	O
Miſs	B-pers
Hamilton	I-pers
remember	O
me	O
kindly	O
to	O
Melle	B-pers
.	I-pers
Moula	I-pers
&	O
believe	O
me	O
Ever	O
most	O
Sincerely	O
Yrs	O
.	O
CFinch	B-pers
I	O
beg	O
also	O
my	O
best	O
Com̅ps	O
to	O
Ly	B-pers
Effingham	I-pers
I	O
had	O
the	O
pleasure	O
of	O
Seeing	O
Sr.	B-pers
G	I-pers
Howard	I-pers
this	O
Morng	O
.	O
--	O
Mr	B-pers
Guiffardiere	I-pers
is	O
this	O
Moment	O
arrived	O
&	O
tells	O
me	O
I	O
may	O
order	O
Supper	O
for	O
the	O
Gentlemen	O
instead	O
of	O
the	O
Refreshments	O
of	O
Tea	O
&	O
c	O
:	O
wch	O
.	O
I	O
shall	O
immediately	O
do	O
,	O
as	O
I	O
think	O
it	O
would	O
be	O
more	O
acceptable	O
.	O
pray	O
thank	O
Pſs	B-pers
Elizh	I-pers
for	O
her	O
Letter	O
.	O
